Year,Mode of Transport,Points of Entry,Tourist Arrivals,Region
2018,Air,LANGKAWI INTERNATIONAL AIRPORT,160362,Peninsular Malaysia
2018,Air,BAYAN LEPAS INTERNATIONAL AIRPORT,1043822,Peninsular Malaysia
2018,Air,KLIA,3667506,Peninsular Malaysia
2018,Air,KLIA 2,2924599,Peninsular Malaysia
2018,Air,SUBANG INTERNATIONAL AIRPORT,41286,Peninsular Malaysia
2018,Air,KOTA KINABALU (KK) INTERNATIONAL AIRPORT,793994,Sabah
2018,Air,SENAI INTERNATIONAL AIRPORT,142404,Peninsular Malaysia
2018,Air,KUCHING INTERNATIONAL AIRPORT,95800,Sarawak
2018,Air,OTHERS,95637,Others
2018,Land,BUKIT KAYU HITAM,546323,Peninsular Malaysia
2018,Land,PADANG BESAR,390569,Peninsular Malaysia
2018,Land,WANG KELIAN,91832,Peninsular Malaysia
2018,Land,"PENGKALAN HULU, BUKIT BERAPIT",123101,Peninsular Malaysia
2018,Land,RANTAU PANJANG,304310,Peninsular Malaysia
2018,Land,PENGKALAN KUBOR,170168,Peninsular Malaysia
2018,Land,TAMBAK JOHOR (BSI),7567608,Peninsular Malaysia
2018,Land,GELANG PATAH (KSAB),4413919,Peninsular Malaysia
2018,Land,TEBEDU,132067,Sarawak
2018,Land,SUNGAI TUJUH,923755,Sarawak
2018,Land,TEDUNGAN,189356,Sarawak
2018,Land,PANDARUAN,207769,Sarawak
2018,Land,OTHERS,298426,Others
2018,Sea,LANGKAWI,77266,Peninsular Malaysia
2018,Sea,PORT KLANG,18725,Peninsular Malaysia
2018,Sea,MELAKA PORT,53800,Peninsular Malaysia
2018,Sea,KUKUP,154651,Peninsular Malaysia
2018,Sea,PASIR GUDANG JETTY,188768,Peninsular Malaysia
2018,Sea,STULANG LAUT,309168,Peninsular Malaysia
2018,Sea,TANJUNG PENGELIH,38809,Peninsular Malaysia
2018,Sea,TANJUNG BELUNGKOR,13804,Peninsular Malaysia
2018,Sea,PENANG PORT,6622,Peninsular Malaysia
2018,Sea,LABUAN PORT,32425,Labuan
2018,Sea,TAWAU PORT,54408,Sabah
2018,Sea,OTHERS,231077,Others
2018,Rail,WOODLANDS TRAIN CHECKPOINT,328218,Peninsular Malaysia
2019,Air,LANGKAWI INTERNATIONAL AIRPORT,135064,Peninsular Malaysia
2019,Air,BAYAN LEPAS INTERNATIONAL AIRPORT,959690,Peninsular Malaysia
2019,Air,KLIA,4046789,Peninsular Malaysia
2019,Air,KLIA 2,3179792,Peninsular Malaysia
2019,Air,SUBANG INTERNATIONAL AIRPORT,31989,Peninsular Malaysia
2019,Air,KOTA KINABALU (KK) INTERNATIONAL AIRPORT,886420,Sabah
2019,Air,SENAI INTERNATIONAL AIRPORT,150787,Peninsular Malaysia
2019,Air,KUCHING INTERNATIONAL AIRPORT,118566,Sarawak
2019,Air,OTHERS,104825,Others
2019,Land,BUKIT KAYU HITAM,576753,Peninsular Malaysia
2019,Land,PADANG BESAR,438895,Peninsular Malaysia
2019,Land,WANG KELIAN,91013,Peninsular Malaysia
2019,Land,"PENGKALAN HULU, BUKIT BERAPIT",169278,Peninsular Malaysia
2019,Land,RANTAU PANJANG,202023,Peninsular Malaysia
2019,Land,PENGKALAN KUBOR,135097,Peninsular Malaysia
2019,Land,TAMBAK JOHOR (BSI),6942340,Peninsular Malaysia
2019,Land,GELANG PATAH (KSAB),4623167,Peninsular Malaysia
2019,Land,TEBEDU,140351,Sarawak
2019,Land,SUNGAI TUJUH,616652,Sarawak
2019,Land,TEDUNGAN,289926,Sarawak
2019,Land,PANDARUAN,228203,Sarawak
2019,Land,OTHERS,364311,Others
2019,Sea,LANGKAWI,73986,Peninsular Malaysia
2019,Sea,PORT KLANG,27614,Peninsular Malaysia
2019,Sea,MELAKA PORT,62133,Peninsular Malaysia
2019,Sea,KUKUP,120044,Peninsular Malaysia
2019,Sea,PASIR GUDANG JETTY,192059,Peninsular Malaysia
2019,Sea,STULANG LAUT,371932,Peninsular Malaysia
2019,Sea,TANJUNG PENGELIH,41052,Peninsular Malaysia
2019,Sea,TANJUNG BELUNGKOR,14049,Peninsular Malaysia
2019,Sea,PENANG PORT,4022,Peninsular Malaysia
2019,Sea,LABUAN PORT,31231,Labuan
2019,Sea,TAWAU PORT,47363,Sabah
2019,Sea,OTHERS,303733,Others
2019,Rail,WOODLANDS TRAIN CHECKPOINT,379635,Peninsular Malaysia
2020,Air,LANGKAWI INTERNATIONAL AIRPORT,22682,Peninsular Malaysia
2020,Air,BAYAN LEPAS INTERNATIONAL AIRPORT,127603,Peninsular Malaysia
2020,Air,KLIA,722876,Peninsular Malaysia
2020,Air,KLIA 2,615262,Peninsular Malaysia
2020,Air,SUBANG INTERNATIONAL AIRPORT,11325,Peninsular Malaysia
2020,Air,KOTA KINABALU (KK) INTERNATIONAL AIRPORT,85281,Sabah
2020,Air,SENAI INTERNATIONAL AIRPORT,27149,Peninsular Malaysia
2020,Air,KUCHING INTERNATIONAL AIRPORT,18150,Sarawak
2020,Air,OTHERS,17932,Others
2020,Land,BUKIT KAYU HITAM,159653,Peninsular Malaysia
2020,Land,PADANG BESAR,85440,Peninsular Malaysia
2020,Land,WANG KELIAN,18370,Peninsular Malaysia
2020,Land,"PENGKALAN HULU, BUKIT BERAPIT",25314,Peninsular Malaysia
2020,Land,RANTAU PANJANG,49523,Peninsular Malaysia
2020,Land,PENGKALAN KUBOR,27590,Peninsular Malaysia
2020,Land,TAMBAK JOHOR (BSI),1082982,Peninsular Malaysia
2020,Land,GELANG PATAH (KSAB),626562,Peninsular Malaysia
2020,Land,TEBEDU,32968,Sarawak
2020,Land,SUNGAI TUJUH,89925,Sarawak
2020,Land,TEDUNGAN,20983,Sarawak
2020,Land,PANDARUAN,26526,Sarawak
2020,Land,OTHERS,71803,Others
2020,Sea,LANGKAWI,25683,Peninsular Malaysia
2020,Sea,PORT KLANG,9238,Peninsular Malaysia
2020,Sea,MELAKA PORT,8325,Peninsular Malaysia
2020,Sea,KUKUP,38720,Peninsular Malaysia
2020,Sea,PASIR GUDANG JETTY,47406,Peninsular Malaysia
2020,Sea,STULANG LAUT,78926,Peninsular Malaysia
2020,Sea,TANJUNG PENGELIH,8465,Peninsular Malaysia
2020,Sea,TANJUNG BELUNGKOR,2463,Peninsular Malaysia
2020,Sea,PENANG PORT,0,Peninsular Malaysia
2020,Sea,LABUAN PORT,4479,Labuan
2020,Sea,TAWAU PORT,10395,Sabah
2020,Sea,OTHERS,79061,Others
2020,Rail,WOODLANDS TRAIN CHECKPOINT,53662,Peninsular Malaysia
2021,Air,LANGKAWI INTERNATIONAL AIRPORT,149,Peninsular Malaysia
2021,Air,BAYAN LEPAS INTERNATIONAL AIRPORT,2048,Peninsular Malaysia
2021,Air,KLIA,57679,Peninsular Malaysia
2021,Air,KLIA 2,8191,Peninsular Malaysia
2021,Air,SUBANG INTERNATIONAL AIRPORT,157,Peninsular Malaysia
2021,Air,KOTA KINABALU (KK) INTERNATIONAL AIRPORT,83,Sabah
2021,Air,SENAI INTERNATIONAL AIRPORT,38,Peninsular Malaysia
2021,Air,KUCHING INTERNATIONAL AIRPORT,837,Sarawak
2021,Air,OTHERS,167,Others
2021,Land,BUKIT KAYU HITAM,45226,Peninsular Malaysia
2021,Land,PADANG BESAR,12144,Peninsular Malaysia
2021,Land,WANG KELIAN,0,Peninsular Malaysia
2021,Land,"PENGKALAN HULU, BUKIT BERAPIT",3,Peninsular Malaysia
2021,Land,RANTAU PANJANG,8,Peninsular Malaysia
2021,Land,PENGKALAN KUBOR,0,Peninsular Malaysia
2021,Land,TAMBAK JOHOR (BSI),4368,Peninsular Malaysia
2021,Land,GELANG PATAH (KSAB),188,Peninsular Malaysia
2021,Land,TEBEDU,89,Sarawak
2021,Land,SUNGAI TUJUH,981,Sarawak
2021,Land,TEDUNGAN,677,Sarawak
2021,Land,PANDARUAN,2,Sarawak
2021,Land,OTHERS,139,Others
2021,Sea,LANGKAWI,20,Peninsular Malaysia
2021,Sea,PORT KLANG,128,Peninsular Malaysia
2021,Sea,MELAKA PORT,0,Peninsular Malaysia
2021,Sea,KUKUP,79,Peninsular Malaysia
2021,Sea,PASIR GUDANG JETTY,302,Peninsular Malaysia
2021,Sea,STULANG LAUT,404,Peninsular Malaysia
2021,Sea,TANJUNG PENGELIH,1,Peninsular Malaysia
2021,Sea,TANJUNG BELUNGKOR,0,Peninsular Malaysia
2021,Sea,PENANG PORT,0,Peninsular Malaysia
2021,Sea,LABUAN PORT,0,Labuan
2021,Sea,TAWAU PORT,0,Sabah
2021,Sea,OTHERS,620,Others
2021,Rail,WOODLANDS TRAIN CHECKPOINT,0,Peninsular Malaysia
2022,Air,LANGKAWI INTERNATIONAL AIRPORT,38559,Peninsular Malaysia
2022,Air,BAYAN LEPAS INTERNATIONAL AIRPORT,362107,Peninsular Malaysia
2022,Air,KLIA,1349181,Peninsular Malaysia
2022,Air,KLIA 2,902812,Peninsular Malaysia
2022,Air,SUBANG INTERNATIONAL AIRPORT,20730,Peninsular Malaysia
2022,Air,KOTA KINABALU (KK) INTERNATIONAL AIRPORT,109422,Sabah
2022,Air,SENAI INTERNATIONAL AIRPORT,30233,Peninsular Malaysia
2022,Air,KUCHING INTERNATIONAL AIRPORT,35102,Sarawak
2022,Air,OTHERS,52970,Others
2022,Land,BUKIT KAYU HITAM,257812,Peninsular Malaysia
2022,Land,PADANG BESAR,205895,Peninsular Malaysia
2022,Land,WANG KELIAN,23801,Peninsular Malaysia
2022,Land,"PENGKALAN HULU, BUKIT BERAPIT",34776,Peninsular Malaysia
2022,Land,RANTAU PANJANG,104612,Peninsular Malaysia
2022,Land,PENGKALAN KUBOR,20996,Peninsular Malaysia
2022,Land,TAMBAK JOHOR (BSI),3214541,Peninsular Malaysia
2022,Land,GELANG PATAH (KSAB),1950372,Peninsular Malaysia
2022,Land,TEBEDU,94597,Sarawak
2022,Land,SUNGAI TUJUH,154656,Sarawak
2022,Land,TEDUNGAN,19155,Sarawak
2022,Land,PANDARUAN,18261,Sarawak
2022,Land,OTHERS,197929,Others
2022,Sea,LANGKAWI,16404,Peninsular Malaysia
2022,Sea,PORT KLANG,74857,Peninsular Malaysia
2022,Sea,MELAKA PORT,34001,Peninsular Malaysia
2022,Sea,KUKUP,73105,Peninsular Malaysia
2022,Sea,PASIR GUDANG JETTY,101343,Peninsular Malaysia
2022,Sea,STULANG LAUT,143670,Peninsular Malaysia
2022,Sea,TANJUNG PENGELIH,27561,Peninsular Malaysia
2022,Sea,TANJUNG BELUNGKOR,0,Peninsular Malaysia
2022,Sea,PENANG PORT,0,Peninsular Malaysia
2022,Sea,LABUAN PORT,4088,Labuan
2022,Sea,TAWAU PORT,24338,Sabah
2022,Sea,OTHERS,189146,Others
2022,Rail,WOODLANDS TRAIN CHECKPOINT,183932,Peninsular Malaysia
2023,Air,LANGKAWI INTERNATIONAL AIRPORT,100156,Peninsular Malaysia
2023,Air,BAYAN LEPAS INTERNATIONAL AIRPORT,956940,Peninsular Malaysia
2023,Air,KLIA,3206294,Peninsular Malaysia
2023,Air,KLIA 2,2405858,Peninsular Malaysia
2023,Air,SUBANG INTERNATIONAL AIRPORT,55079,Peninsular Malaysia
2023,Air,KOTA KINABALU (KK) INTERNATIONAL AIRPORT,374878,Sabah
2023,Air,SENAI INTERNATIONAL AIRPORT,97808,Peninsular Malaysia
2023,Air,KUCHING INTERNATIONAL AIRPORT,73666,Sarawak
2023,Air,OTHERS,124145,Others
2023,Land,BUKIT KAYU HITAM,552267,Peninsular Malaysia
2023,Land,PADANG BESAR,401752,Peninsular Malaysia
2023,Land,WANG KELIAN,44124,Peninsular Malaysia
2023,Land,"PENGKALAN HULU, BUKIT BERAPIT",88621,Peninsular Malaysia
2023,Land,RANTAU PANJANG,271007,Peninsular Malaysia
2023,Land,PENGKALAN KUBOR,63813,Peninsular Malaysia
2023,Land,TAMBAK JOHOR (BSI),5225884,Peninsular Malaysia
2023,Land,GELANG PATAH (KSAB),3380237,Peninsular Malaysia
2023,Land,TEBEDU,223330,Sarawak
2023,Land,SUNGAI TUJUH,358970,Sarawak
2023,Land,TEDUNGAN,105601,Sarawak
2023,Land,PANDARUAN,100105,Sarawak
2023,Land,OTHERS,417986,Others
2023,Sea,LANGKAWI,57633,Peninsular Malaysia
2023,Sea,PORT KLANG,158313,Peninsular Malaysia
2023,Sea,MELAKA PORT,49029,Peninsular Malaysia
2023,Sea,KUKUP,91219,Peninsular Malaysia
2023,Sea,PASIR GUDANG JETTY,81704,Peninsular Malaysia
2023,Sea,STULANG LAUT,264796,Peninsular Malaysia
2023,Sea,TANJUNG PENGELIH,11626,Peninsular Malaysia
2023,Sea,TANJUNG BELUNGKOR,0,Peninsular Malaysia
2023,Sea,PENANG PORT,8,Peninsular Malaysia
2023,Sea,LABUAN PORT,18784,Labuan
2023,Sea,TAWAU PORT,47189,Sabah
2023,Sea,OTHERS,344243,Others
2023,Rail,WOODLANDS TRAIN CHECKPOINT,388781,Peninsular Malaysia
