Park_Name,Latitude,Longitude,Visitors,Year,Notes,Rank
"KUALA TAHAN, PAHANG NATIONAL PARK",4.145,102.4042,49259,2018,,7
"SG. RELAU, PAHANG NATIONAL PARK",4.8814,102.0461,389,2018,,28
"KUALA KOH, KELANTAN NATIONAL PARK",5.0617,102.1524,164,2018,,30
"TG. MENTONG, TERENGGANU NATIONAL PARK",4.9658,102.8021,143,2018,,31
PULAU PINANG NATIONAL PARK,5.45,100.19,69959,2018,,5
KUALA GANDAH NATIONAL ELEPHANT CONSERVATION CENTRE,3.59,102.14,27257,2018,,11
KINABALU PARK,6.02,116.55,63843,2018,,6
TAWAU HILLS PARK,4.4167,117.8833,1661,2018,,25
"CROCKER RANGE PARK, KENINGAU",5.4,116.1,319,2018,,29
"TUN SAKARAN MARINE PARK, SEMPORNA",4.545,118.665,167045,2018,,2
"SIPADAN ISLAND PARK, SEMPORNA",4.1167,118.6333,42826,2018,,9
TUNKU ABDUL RAHMAN PARK,5.972,116.007,394222,2018,,1
"TURTLE ISLANDS PARK, SANDAKAN",6.17,118.06,8256,2018,,16
"PULAU TIGA PARK, KUALA PENYU",5.57,115.6,19485,2018,,13
BAKO NATIONAL PARK,1.71,110.47,40832,2018,,10
MULU NATIONAL PARK,4.02,114.81,15850,2018,,15
NIAH NATIONAL PARK,3.82,113.76,6210,2018,,17
LAMBIR NATIONAL PARK,4.2,114.04,2450,2018,,23
SIMILAJAU NATIONAL PARK,3.35,113.16,1823,2018,,24
KUBAH NATIONAL PARK,1.61,110.2,4873,2018,,19
GADING NATIONAL PARK,1.69,109.85,3491,2018,,21
BATANG AI NATIONAL PARK,1.22,111.95,33,2018,,33
MATANG WILDLIFE CENTRE,1.61,110.16,4434,2018,,20
SEMENGGOH WILDLIFE CENTRE,1.4,110.31,43255,2018,,8
SAMA JAYA NATIONAL RESERVE,1.545,110.36,2492,2018,,22
LOAGAN BUNUT NATIONAL PARK,3.78,114.23,42,2018,,32
TANJUNG DATU NATIONAL PARK,2.0833,109.65,599,2018,,26
WIND CAVE NATURE RESERVE,1.341,110.138,5150,2018,,18
TALANG SATANG NATIONAL PARK,1.7333,109.8833,514,2018,,27
KEDAH MARINE PARK,6.062,100.04,75095,2018,,4
TERENGGANU MARINE PARK,5.45,103.11,110172,2018,closed from January - February 2020 and November - December 2020 due to monsoon.,3
PAHANG MARINE PARK,4.13,103.45,17540,2018,closed from January - February 2020 and November - December 2020 due to monsoon.,14
JOHOR MARINE PARK,2.6,104.3,25820,2018,,12
"KUALA TAHAN, PAHANG NATIONAL PARK",4.145,102.4042,47781,2019,,8
"SG. RELAU, PAHANG NATIONAL PARK",4.8814,102.0461,472,2019,,29
"KUALA KOH, KELANTAN NATIONAL PARK",5.0617,102.1524,13,2019,,37
"TG. MENTONG, TERENGGANU NATIONAL PARK",4.9658,102.8021,105,2019,,34
PULAU PINANG NATIONAL PARK,5.45,100.19,68590,2019,,4
KUALA GANDAH NATIONAL ELEPHANT CONSERVATION CENTRE,3.59,102.14,31969,2019,,11
KEDAH MARINE PARK,6.062,100.04,54104,2019,,6
TERENGGANU MARINE PARK,5.45,103.11,89478,2019,closed from January - February 2020 and November - December 2020 due to monsoon.,3
PAHANG MARINE PARK,4.13,103.45,18140,2019,closed from January - February 2020 and November - December 2020 due to monsoon.,14
JOHOR MARINE PARK,2.6,104.3,18950,2019,,13
LABUAN MARINE PARK,5.304,115.15,250,2019,,32
KINABALU PARK,6.02,116.55,65565,2019,,5
TAWAU HILLS PARK,4.4167,117.8833,2274,2019,,24
"CROCKER RANGE PARK, KENINGAU",5.4,116.1,309,2019,,31
"TUN SAKARAN MARINE PARK, SEMPORNA",4.545,118.665,182383,2019,,2
"SIPADAN ISLAND PARK, SEMPORNA",4.1167,118.6333,42190,2019,,9
TUNKU ABDUL RAHMAN PARK,5.972,116.007,332564,2019,,1
"TURTLE ISLANDS PARK, SANDAKAN",6.17,118.06,8607,2019,,16
"PULAU TIGA PARK, KUALA PENYU",5.57,115.6,22691,2019,,12
BAKO NATIONAL PARK,1.71,110.47,40406,2019,,10
MULU NATIONAL PARK,4.02,114.81,15046,2019,,15
NIAH NATIONAL PARK,3.82,113.76,5188,2019,,17
LAMBIR NATIONAL PARK,4.2,114.04,2679,2019,,23
SIMILAJAU NATIONAL PARK,3.35,113.16,1141,2019,,26
KUBAH NATIONAL PARK,1.61,110.2,5143,2019,,18
GADING NATIONAL PARK,1.69,109.85,3164,2019,,22
BATANG AI NATIONAL PARK,1.22,111.95,50,2019,,35
MATANG WILDLIFE CENTRE,1.61,110.16,4909,2019,,19
SEMENGGOH WILDLIFE CENTRE,1.4,110.31,49691,2019,,7
SAMA JAYA NATIONAL RESERVE,1.545,110.36,2176,2019,,25
LOAGAN BUNUT NATIONAL PARK,3.78,114.23,47,2019,,36
TANJUNG DATU NATIONAL PARK,2.0833,109.65,795,2019,,27
WIND CAVE NATURE RESERVE,1.341,110.138,4152,2019,,20
TALANG SATANG NATIONAL PARK,1.7333,109.8833,669,2019,,28
SANTUBONG NATIONAL PARK,1.64,110.34,3789,2019,,21
MALUDAM NATIONAL PARK,1.46,111.35,8,2019,,38
PIASU NATIONAL PARK,4.54,114.47,317,2019,,30
BUKIT SEMBLING,2.21,114.0,158,2019,,33
"KUALA TAHAN, PAHANG NATIONAL PARK",4.145,102.4042,9369,2020,,6
"SG. RELAU, PAHANG NATIONAL PARK",4.8814,102.0461,44,2020,,31
"KUALA KOH, KELANTAN NATIONAL PARK",5.0617,102.1524,32,2020,,34
"TG. MENTONG, TERENGGANU NATIONAL PARK",4.9658,102.8021,36,2020,,33
PULAU PINANG NATIONAL PARK,5.45,100.19,19246,2020,,2
KUALA GANDAH ELEPHANT CONSERVATION CENTRE,3.59,102.14,5611,2020,,9
KEDAH MARINE PARK,6.062,100.04,8914,2020,,7
TERENGGANU MARINE PARK,5.45,103.11,14491,2020,closed from January - February 2020 and November - December 2020 due to monsoon.,4
PAHANG MARINE PARK,4.13,103.45,1160,2020,closed from January - February 2020 and November - December 2020 due to monsoon.,16
JOHOR MARINE PARK,2.6,104.3,2300,2020,,13
LABUAN MARINE PARK,5.304,115.15,171,2020,,26
KINABALU PARK,6.02,116.55,12060,2020,,5
TAWAU HILLS PARK,4.4167,117.8833,558,2020,,21
"CROCKER RANGE PARK, KENINGAU",5.4,116.1,53,2020,,30
"TUN SAKARAN MARINE PARK, SEMPORNA",4.545,118.665,18694,2020,,3
"SIPADAN ISLAND PARK, SEMPORNA",4.1167,118.6333,7067,2020,,8
TUNKU ABDUL RAHMAN PARK,5.972,116.007,49503,2020,,1
"TURTLE ISLANDS PARK, SANDAKAN",6.17,118.06,1478,2020,,15
"PULAU TIGA PARK, KUALA PENYU",5.57,115.6,2327,2020,,12
BAKO NATIONAL PARK,1.71,110.47,4887,2020,,10
MULU NATIONAL PARK,4.02,114.81,2034,2020,,14
NIAH NATIONAL PARK,3.82,113.76,833,2020,,17
LAMBIR NATIONAL PARK,4.2,114.04,534,2020,,22
SIMILAJAU NATIONAL PARK,3.35,113.16,226,2020,,25
KUBAH NATIONAL PARK,1.61,110.2,652,2020,,20
GADING NATIONAL PARK,1.69,109.85,279,2020,,24
MATANG WILDLIFE CENTRE,1.61,110.16,63,2020,,28
SEMENGGOH WILDLIFE CENTRE,1.4,110.31,4846,2020,,11
SAMA JAYA NATIONAL RESERVE,1.545,110.36,731,2020,,18
LOAGAN BUNUT NATIONAL PARK,3.78,114.23,21,2020,,35
TANJUNG DATU NATIONAL PARK,2.0833,109.65,65,2020,,27
WIND CAVE NATURE RESERVE,1.341,110.138,346,2020,,23
SANTUBONG NATIONAL PARK,1.64,110.34,654,2020,,19
MALUDAM NATIONAL PARK,1.46,111.35,2,2020,,37
PIASU NATIONAL PARK,4.54,114.47,60,2020,,29
BUKIT LIMA,2.21,114.0,3,2020,,36
BUKIT SEMBLING,1.55,110.33,41,2020,,32
KUCHING WETLAND NATIONAL PARK,1.59,110.33,1,2020,,38
"KUALA TAHAN, PAHANG NATIONAL PARK",4.145,102.4042,364,2021,,7
"SG. RELAU, PAHANG NATIONAL PARK",4.8814,102.0461,5,2021,,24
PULAU PINANG NATIONAL PARK,5.45,100.19,2881,2021,,1
KUALA GANDAH NATIONAL ELEPHANT CONSERVATION CENTRE,3.59,102.14,353,2021,,8
KEDAH MARINE PARK,6.062,100.04,27,2021,,21
TERENGGANU MARINE PARK,5.45,103.11,299,2021,closed from January - February 2020 and November - December 2020 due to monsoon.,10
PAHANG MARINE PARK,4.13,103.45,73,2021,closed from January - February 2020 and November - December 2020 due to monsoon.,16
JOHOR MARINE PARK,2.6,104.3,280,2021,,11
LABUAN MARINE PARK,5.304,115.15,23,2021,,22
KINABALU PARK,6.02,116.55,384,2021,,6
TAWAU HILLS PARK,4.4167,117.8833,40,2021,,18
